distribution,flaw,magnitude,vis,parameter,id,index,training,correct,rt,vizIndex,excluded
normal,gap,15,scatter,0.0875,5ab7de31e1546900019b6a5d,69,0,0,5287,viz16,0
normal,spike,20,scatter,0.175,5ab7de31e1546900019b6a5d,70,0,1,3056,viz16,0
normal,spike,20,histogram,7,5ab7de31e1546900019b6a5d,71,0,1,70865,viz20,0
normal,outliers,15,density,0.035,5ab7de31e1546900019b6a5d,72,0,0,32831,viz3,0
normal,gap,10,density,0.0175,5ab7de31e1546900019b6a5d,73,0,0,4815,viz3,0
normal,spike,15,scatter,0.0875,5ab7de31e1546900019b6a5d,74,0,1,4888,viz13,0
normal,spike,15,density,0.07,5ab7de31e1546900019b6a5d,75,0,1,4564,viz14,0
normal,spike,15,histogram,14,5ab7de31e1546900019b6a5d,76,0,1,4932,viz10,0
normal,gap,15,density,0.035,5ab7de31e1546900019b6a5d,77,0,0,50811,viz13,0
normal,gap,10,histogram,28,5ab7de31e1546900019b6a5d,78,0,0,3208,viz9,0
normal,gap,20,scatter,0.35,5ab7de31e1546900019b6a5d,79,0,0,3726,viz2,0
normal,spike,20,scatter,0.35,5ab7de31e1546900019b6a5d,80,0,0,11745,viz6,0
normal,outliers,10,histogram,28,5ab7de31e1546900019b6a5d,81,0,0,2536,viz8,0
normal,outliers,20,histogram,28,5ab7de31e1546900019b6a5d,82,0,0,14005,viz1,0
normal,outliers,15,histogram,28,5ab7de31e1546900019b6a5d,83,0,0,5668,viz11,0
normal,gap,20,histogram,28,5ab7de31e1546900019b6a5d,84,0,1,5774,viz15,0
normal,gap,15,scatter,0.175,5ab7de31e1546900019b6a5d,85,0,0,4196,viz9,0
normal,spike,20,histogram,14,5ab7de31e1546900019b6a5d,86,0,1,2746,viz3,0
normal,outliers,20,histogram,14,5ab7de31e1546900019b6a5d,87,0,0,4637,viz15,0
normal,gap,15,density,0.07,5ab7de31e1546900019b6a5d,88,0,1,2549,viz8,0
normal,gap,20,density,0.035,5ab7de31e1546900019b6a5d,89,0,0,5067,viz12,0
normal,spike,20,density,0.07,5ab7de31e1546900019b6a5d,90,0,1,3757,viz18,0
normal,outliers,25,density,0.0175,55ea70c37480920010aa9982,1,1,0,36287,viz2,0
normal,outliers,25,histogram,28,55ea70c37480920010aa9982,2,1,0,12585,viz20,0
normal,outliers,25,scatter,0.0875,55ea70c37480920010aa9982,3,1,0,27047,viz9,0
normal,gap,25,density,0.0175,55ea70c37480920010aa9982,4,1,1,17728,viz18,0
normal,gap,25,histogram,28,55ea70c37480920010aa9982,5,1,1,7727,viz10,0
normal,gap,25,scatter,0.0875,55ea70c37480920010aa9982,6,1,1,12887,viz18,0
normal,spike,25,density,0.0175,55ea70c37480920010aa9982,7,1,1,10504,viz7,0
normal,spike,25,histogram,28,55ea70c37480920010aa9982,8,1,1,12489,viz10,0
normal,spike,25,scatter,0.0875,55ea70c37480920010aa9982,9,1,1,4384,viz11,0
normal,spike,10,density,0.07,55ea70c37480920010aa9982,10,0,0,24062,viz4,0
normal,outliers,20,histogram,14,55ea70c37480920010aa9982,11,0,0,25543,viz14,0
normal,spike,15,density,0.035,55ea70c37480920010aa9982,12,0,0,12967,viz4,0
normal,spike,10,histogram,7,55ea70c37480920010aa9982,13,0,0,26744,viz3,0
normal,gap,20,scatter,0.35,55ea70c37480920010aa9982,14,0,1,23624,viz1,0
normal,spike,20,scatter,0.35,55ea70c37480920010aa9982,15,0,1,27295,viz1,0
normal,outliers,10,density,0.035,55ea70c37480920010aa9982,16,0,1,13295,viz7,0
normal,spike,15,density,0.07,55ea70c37480920010aa9982,17,0,1,17473,viz17,0
normal,outliers,20,density,0.0175,55ea70c37480920010aa9982,18,0,0,21039,viz10,0
normal,spike,15,scatter,0.35,55ea70c37480920010aa9982,19,0,1,50408,viz15,0
normal,gap,10,histogram,28,55ea70c37480920010aa9982,20,0,1,6175,viz1,0
normal,gap,20,density,0.035,55ea70c37480920010aa9982,21,0,1,12103,viz4,0
normal,outliers,10,histogram,14,55ea70c37480920010aa9982,22,0,0,34080,viz10,0
normal,gap,10,scatter,0.35,55ea70c37480920010aa9982,23,0,0,9632,viz10,0
normal,outliers,15,scatter,0.0875,55ea70c37480920010aa9982,24,0,0,15865,viz14,0
normal,gap,15,density,0.035,55ea70c37480920010aa9982,25,0,1,17880,viz16,0
normal,outliers,10,density,0.07,55ea70c37480920010aa9982,26,0,1,14664,viz9,0
normal,outliers,20,scatter,0.0875,55ea70c37480920010aa9982,27,0,1,14031,viz17,0
normal,gap,20,histogram,28,55ea70c37480920010aa9982,28,0,0,25928,viz18,0
normal,spike,20,histogram,28,55ea70c37480920010aa9982,29,0,1,10697,viz4,0
normal,gap,10,histogram,7,55ea70c37480920010aa9982,30,0,0,37984,viz13,0
normal,spike,10,density,0.0175,55ea70c37480920010aa9982,31,0,1,11783,viz8,0
normal,gap,15,scatter,0.35,55ea70c37480920010aa9982,32,0,0,21992,viz18,0
normal,gap,15,scatter,0.175,55ea70c37480920010aa9982,33,0,0,54936,viz11,0
normal,gap,20,histogram,14,55ea70c37480920010aa9982,34,0,1,7991,viz11,0
normal,outliers,15,scatter,0.35,55ea70c37480920010aa9982,35,0,0,17175,viz9,0
normal,outliers,10,density,0.0175,55ea70c37480920010aa9982,36,0,1,26841,viz15,0
normal,gap,20,scatter,0.175,55ea70c37480920010aa9982,37,0,1,6698,viz10,0
normal,outliers,20,histogram,7,55ea70c37480920010aa9982,38,0,1,15992,viz14,0
normal,spike,10,scatter,0.0875,55ea70c37480920010aa9982,39,0,1,4807,viz19,0
normal,gap,15,density,0.0175,55ea70c37480920010aa9982,40,0,1,13534,viz9,0
normal,gap,10,histogram,14,55ea70c37480920010aa9982,41,0,0,22303,viz19,0
